Package,CVE-ID,Links
bodymen 1.0.0,CVE-2022-25296,https://security.snyk.io/vuln/SNYK-JS-BODYMEN-2342623
jsgui-lang-essentials 0.4.3,CVE-2022-25301,https://security.snyk.io/vuln/SNYK-JS-JSGUILANGESSENTIALS-2316897
set-in 2.0.1,CVE-2022-25354,https://security.snyk.io/vuln/SNYK-JS-SETIN-2388571
dset 3.1.1,CVE-2022-25645,https://security.snyk.io/vuln/SNYK-JS-DSET-2330881
sds 4.4.0,CVE-2022-25862,https://security.snyk.io/vuln/SNYK-JS-SDS-2385944
querymen 2.1.4,CVE-2022-25871,https://security.snyk.io/vuln/SNYK-JS-QUERYMEN-2391488
protobufjs 6.11.0,CVE-2022-25878,https://security.snyk.io/vuln/SNYK-JS-PROTOBUFJS-2441248
utils-extend 1.0.8,,https://hackerone.com/reports/801522
think-config 1.0.0,,https://github.com/advisories/GHSA-6cj2-92m5-7mvp https://security.snyk.io/vuln/SNYK-JS-THINKCONFIG-1536566
style-dictionary 2.10.2,,https://security.snyk.io/vuln/SNYK-JS-STYLEDICTIONARY-1080632 
smart-extend 1.7.4,,https://hackerone.com/reports/438274
shvl 2.0.1,,https://security.snyk.io/vuln/SNYK-JS-SHVL-1085284 
set-value 3.0.0,,
sds 3.2.0,,https://github.com/418sec/sds/pull/1/commits/71009613b5b50b6bb3a00b6cfbc643fe82f23ca7
sahmat 1.0.1,,
rfc6902 4.0.2,,https://security.snyk.io/vuln/SNYK-JS-RFC6902-1053318 
reggae 0.0.1,,
qs 6.2.2,,
plain-object-merge 1.0.1,,https://security.snyk.io/vuln/SNYK-JS-PLAINOBJECTMERGE-1085643 
objutil 2.17.3,,https://security.snyk.io/vuln/SNYK-JS-OBJUTIL-559496 
objtools 3.0.0,,https://security.snyk.io/vuln/SNYK-JS-OBJTOOLS-674471 
objnest 5.0.0,,https://security.snyk.io/vuln/SNYK-JS-OBJNEST-1041787 
node-dig 1.0.1,,https://security.snyk.io/vuln/SNYK-JS-NODEDIG-1069825 
node.extend 2.0.0,,https://hackerone.com/reports/430831
nestie 1.0.0,,https://security.snyk.io/vuln/SNYK-JS-NESTIE-1300518 https://github.com/advisories/GHSA-m7rg-8wvq-846v
mquery 3.2.1,,https://security.snyk.io/vuln/SNYK-JS-MQUERY-1089718 https://github.com/advisories/GHSA-45q2-34rf-mr94
mpath 0.4.1,,https://hackerone.com/reports/390860
mixin-deep 1.3.0,,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
mithril 2.0.1,,https://github.com/MithrilJS/mithril.js/commit/97fa1788c2184ff4b87fd3f558b7003f9eeee2b1
mithril 1.0.0,,https://security.snyk.io/vuln/SNYK-JS-MITHRIL-460113 https://github.com/advisories/GHSA-c3px-v9c7-m734
minimist 1.2.2,,https://snyk.io/vuln/SNYK-JS-MINIMIST-559764
mergify 1.0.2,,https://hackerone.com/reports/439098
merge-recursive 0.0.3,,
merge-options 1.0.0,,
merge-objects 1.0.5,,
merge-deep 3.0.0,,https://hackerone.com/reports/310708
merge 1.2.0,,https://hackerone.com/reports/381194
lutils-merge 0.2.6,,https://hackerone.com/reports/439107
lodash-4.17.11,,https://github.com/lodash/lodash/pull/4336/files
lodash.mergewith 4.6.1,,https://hackerone.com/reports/380873
lodash.mergewith 4.6.0,,
lodash.merge 4.6.0,,
lodash.defaultsdeep 4.6.0,,https://snyk.io/vuln/SNYK-JS-LODASHDEFAULTSDEEP-450198
lodash 4.17.4,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a
libnested-1.5.1,,https://security.snyk.io/vuln/SNYK-JS-LIBNESTED-2342117
klona 1.1.0,,
keyd 1.3.4,,https://security.snyk.io/vuln/SNYK-JS-KEYD-674472 
just-extend 3.0.0,,https://hackerone.com/reports/430291
inireader 1.0.0,,https://security.snyk.io/vuln/SNYK-JS-INIREADER-1054843 
ini-parser 0.0.2,,
hoek 5.0.2,,https://snyk.io/vuln/npm:hoek:20180212
get-setter 0.0.0,,
getsetdeep 4.15.0,,https://github.com/advisories/GHSA-8j49-49jq-vwcq 
getsetdeep 4.12.0,,
flat-wrap 1.0.2,,
fast-json-patch 2.0.4,,https://security.snyk.io/vuln/SNYK-JS-FASTJSONPATCH-595663 
extend-merge 1.0.5,,https://security.snyk.io/vuln/SNYK-JS-EXTENDMERGE-609868 
extend 3.0.1,,https://hackerone.com/reports/381185
dot-prop 4.2.0,,https://hackerone.com/reports/719856
defaults-deep 0.2.4,,https://hackerone.com/reports/380878
defaults-deep 0.2.3,,https://hackerone.com/reports/310514
deep-setter 1.0.1,,
deep-extend 0.5.0,,
deap 1.0.0,,https://hackerone.com/reports/310446
convict 6.0.0,,https://security.snyk.io/vuln/SNYK-JS-CONVICT-1062508 
chartkick 3.1.3,,https://github.com/ankane/chartkick.js/issues/117
cached-path-relative 1.0.1,,https://hackerone.com/reports/390847
assign-deep 0.4.8,,https://snyk.io/vuln/SNYK-JS-ASSIGNDEEP-450211
assign-deep 0.4.6,,https://github.com/jonschlinkert/assign-deep/commit/19953a8c089b0328c470acaaaf6accdfcb34da11
angular 1.7.8,,https://github.com/angular/angular.js/pull/16913/files
@hapi/subtext 7.0.2,,
@apollo/gateway 0.6.1,,
