Package,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
lodash.merge 4.6.0,,,,,,TP,TP
lodash.mergewith 4.6.0,,,,,,TP,TP
lodash.mergewith 4.6.1,,https://hackerone.com/reports/380873,,,,TP,TP
lutils 2.4.0,CVE-2021-23396,https://security.snyk.io/vuln/SNYK-JS-LUTILS-1311023,,,,TP,TP
lutils-merge 0.2.6,,https://hackerone.com/reports/439107,,,,TP,TP
madlib-object-utils 0.1.6,CVE-2020-7701,https://security.snyk.io/vuln/SNYK-JS-MADLIBOBJECTUTILS-598676 https://github.com/advisories/GHSA-jvf5-q4h5-2jmj,,,,TP,TP
madlib-object-utils 0.1.7,CVE-2022-24279,https://security.snyk.io/vuln/SNYK-JS-MADLIBOBJECTUTILS-2388572,,,,TP,TP
mathjs 7.4.0,CVE-2020-7743,https://security.snyk.io/vuln/SNYK-JS-MATHJS-1016401 https://github.com/advisories/GHSA-x2fc-mxcx-w4mf,39s,39s,39s,TP,TP
merge 1.2.0,,https://hackerone.com/reports/381194,13s,13s,13s,TP,TP
merge 2.1.0,CVE-2020-28499,https://security.snyk.io/vuln/SNYK-JS-MERGE-1042987 https://github.com/advisories/GHSA-7wpw-2hjm-89gp,timed out,timed out,timed out,TP,TP
merge-change 1.0.1,CVE-2021-23421,https://github.com/VladimirShestakov/merge-change/blob/9901f145e06158f284f52de42e6ba5b0f702fb65/utils.js#L89-L123 https://security.snyk.io/vuln/SNYK-JS-MERGECHANGE-1310985,,,,TP,TP
merge-deep 3.0.0,,https://hackerone.com/reports/310708,timed out,timed out,timed out,TP,TP
merge-deep2 3.0.5,CVE-2021-23700,https://security.snyk.io/vuln/SNYK-JS-MERGEDEEP2-1727593 https://github.com/advisories/GHSA-j28q-p8ww-cp87,,,,TP,TP
merge-objects 1.0.3,CVE-2018-3753,https://security.snyk.io/vuln/npm:merge-objects:20180415 https://github.com/advisories/GHSA-fp82-2h99-3fpp,,,,TP,TP
merge-objects 1.0.5,,,,,,TP,TP
merge-options 1.0.0,,,,,,TP,TP
merge-recursive 0.0.3,,,,,,TP,TP
mergify 1.0.2,,https://hackerone.com/reports/439098,timed out,timed out,timed out,TP,TP
minimist 1.0.0,CVE-2020-7598,https://security.snyk.io/vuln/SNYK-JS-MINIMIST-559764 https://github.com/advisories/GHSA-vh95-rmgr-6w4m,timed out,timed out,timed out,TP,TP
minimist 1.2.2,,https://snyk.io/vuln/SNYK-JS-MINIMIST-559764,timed out,timed out,timed out,TP,TP
mithril 1.0.0,,https://security.snyk.io/vuln/SNYK-JS-MITHRIL-460113 https://github.com/advisories/GHSA-c3px-v9c7-m734,2s,2s,2s,TP,TP
mithril 2.0.1,,https://github.com/MithrilJS/mithril.js/commit/97fa1788c2184ff4b87fd3f558b7003f9eeee2b1,timed out,timed out,timed out,TP,TP
mixin-deep 1.3.0,,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,FN,FN,FN,TP,TP
mixin-deep 2.0.0,CVE-2019-10746,https://security.snyk.io/vuln/SNYK-JS-MIXINDEEP-450212 https://github.com/advisories/GHSA-fhjf-83wg-r2j9,FN,FN,FN,TP,TP
mixme 0.5.0,CVE-2021-29491,https://github.com/adaltas/node-mixme/commit/cfd5fbfc32368bcf7e06d1c5985ea60e34cd4028,timed out,timed out,timed out,TP,TP
mootools 1.5.2,CVE-2021-23432,https://security.snyk.io/vuln/SNYK-JS-MOOTOOLS-1325536 https://github.com/advisories/GHSA-x6hx-7gh3-3q98,,,,TP,TP
mout 1.0.0,CVE-2020-7792,https://security.snyk.io/vuln/SNYK-JS-MOUT-1014544 ,,,,FN,TP
mout-1.2.3,CVE-2022-21213,,,,,FN,TP
mpath 0.4.1,,https://hackerone.com/reports/390860,,,,FN,TP
mquery 3.2.1,,https://security.snyk.io/vuln/SNYK-JS-MQUERY-1089718 https://github.com/advisories/GHSA-45q2-34rf-mr94,,,,FN,TP
msgpack5 5.2.0,CVE-2021-21368,https://github.com/advisories/GHSA-gmjw-49p4-pcfm,,,,FN,TP
nconf 0.11.3,CVE-2022-21803,https://security.snyk.io/vuln/SNYK-JS-NCONF-2395478,,,,FN,TP
nedb 1.8.0,CVE-2021-23395,https://security.snyk.io/vuln/SNYK-JS-NEDB-1305279,,,,TP,TP
nested-object-assign 1.0.3,CVE-2021-23329,https://security.snyk.io/vuln/SNYK-JS-NESTEDOBJECTASSIGN-1065977,,,,TP,TP
